Question_Code,Question_Text,Country,Answer,Percentage
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Extra long trip,5.073051999999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,1 night,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,2-4 nights,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,5-7 nights,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,8-14 nights,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,15 or more nights,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,hVacationType: AUTOPUNCH FROM QDURATION,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Total,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Overnight stay,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Short trip,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Medium trip,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Long trip,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Extra long trip,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,1 night,4.776346
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,2-4 nights,35.70887
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,5-7 nights,41.243365999999995
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,8-14 nights,14.329037
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,15 or more nights,3.9423809999999997
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,hVacationType: AUTOPUNCH FROM QDURATION,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,Total,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,Overnight stay,4.776346
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,Short trip,35.70887
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,Medium trip,41.243365999999995
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,Long trip,14.329037
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,Extra long trip,3.9423809999999997
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,1 night,10.513644
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,2-4 nights,41.332263000000005
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,UK,5-7 nights,28.491172
